token,centrality,length,label
STR SQUT AND INT EQ INT AND SQUT STR SQUT EQ SQUT STR,0.3333333333333333 0.41666666666666663 0.5 0.5833333333333333 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.5833333333333333 0.5 0.41666666666666663 0.3333333333333333,71,threat
STR SQUT AND INT EQ INT AND SQUT STR SQUT EQ SQUT STR,0.3333333333333333 0.41666666666666663 0.5 0.5833333333333333 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.5833333333333333 0.5 0.41666666666666663 0.3333333333333333,71,threat
STR SQUT RPRN AND INT EQ INT AND LPRN SQUT STR SQUT LIKE SQUT STR,0.2857142857142857 0.3571428571428571 0.42857142857142855 0.5 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5 0.42857142857142855 0.3571428571428571 0.2857142857142857,84,threat
STR SQUT RPRN AND INT EQ INT AND LPRN SQUT STR SQUT LIKE SQUT STR,0.2857142857142857 0.3571428571428571 0.42857142857142855 0.5 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5 0.42857142857142855 0.3571428571428571 0.2857142857142857,84,threat
STR SQUT RPRN RPRN AND INT EQ INT AND LPRN LPRN SQUT STR SQUT LIKE SQUT STR,0.25 0.3125 0.375 0.4375 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4375 0.375 0.3125 0.25,90,threat
STR SQUT RPRN RPRN AND INT EQ INT AND LPRN LPRN SQUT STR SQUT LIKE SQUT STR,0.25 0.3125 0.375 0.4375 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4375 0.375 0.3125 0.25,90,threat
STR SQUT AND INT EQ INT AND SQUT STR SQUT LIKE SQUT STR,0.3333333333333333 0.41666666666666663 0.5 0.5833333333333333 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.5833333333333333 0.5 0.41666666666666663 0.3333333333333333,78,threat
STR SQUT AND INT EQ INT AND SQUT STR SQUT LIKE SQUT STR,0.3333333333333333 0.41666666666666663 0.5 0.5833333333333333 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.5833333333333333 0.5 0.41666666666666663 0.3333333333333333,78,threat
STR DQUT RPRN AND INT EQ INT AND LPRN DQUT STR DQUT EQ DQUT STR,0.2857142857142857 0.3571428571428571 0.42857142857142855 0.5 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5 0.42857142857142855 0.3571428571428571 0.2857142857142857,77,threat
STR DQUT RPRN AND INT EQ INT AND LPRN DQUT STR DQUT EQ DQUT STR,0.2857142857142857 0.3571428571428571 0.42857142857142855 0.5 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5 0.42857142857142855 0.3571428571428571 0.2857142857142857,77,threat
STR DQUT RPRN RPRN AND INT EQ INT AND LPRN LPRN DQUT STR DQUT EQ DQUT STR,0.25 0.3125 0.375 0.4375 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4375 0.375 0.3125 0.25,83,threat
STR DQUT RPRN RPRN AND INT EQ INT AND LPRN LPRN DQUT STR DQUT EQ DQUT STR,0.25 0.3125 0.375 0.4375 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4375 0.375 0.3125 0.25,83,threat
STR DQUT AND INT EQ INT AND DQUT STR DQUT EQ DQUT STR,0.3333333333333333 0.41666666666666663 0.5 0.5833333333333333 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.5833333333333333 0.5 0.41666666666666663 0.3333333333333333,71,threat
STR DQUT AND INT EQ INT AND DQUT STR DQUT EQ DQUT STR,0.3333333333333333 0.41666666666666663 0.5 0.5833333333333333 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.5833333333333333 0.5 0.41666666666666663 0.3333333333333333,71,threat
STR DQUT RPRN AND INT EQ INT AND LPRN DQUT STR DQUT LIKE DQUT STR,0.2857142857142857 0.3571428571428571 0.42857142857142855 0.5 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5 0.42857142857142855 0.3571428571428571 0.2857142857142857,84,threat
STR DQUT RPRN AND INT EQ INT AND LPRN DQUT STR DQUT LIKE DQUT STR,0.2857142857142857 0.3571428571428571 0.42857142857142855 0.5 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5 0.42857142857142855 0.3571428571428571 0.2857142857142857,84,threat
STR DQUT AND INT EQ INT AND DQUT STR DQUT LIKE DQUT STR,0.3333333333333333 0.41666666666666663 0.5 0.5833333333333333 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.5833333333333333 0.5 0.41666666666666663 0.3333333333333333,78,threat
STR DQUT AND INT EQ INT AND DQUT STR DQUT LIKE DQUT STR,0.3333333333333333 0.41666666666666663 0.5 0.5833333333333333 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.5833333333333333 0.5 0.41666666666666663 0.3333333333333333,78,threat
STR PRCNT SQUT RPRN AND INT EQ INT AND LPRN SQUT PRCNT SQUT EQ SQUT,0.2857142857142857 0.3571428571428571 0.42857142857142855 0.5 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5 0.42857142857142855 0.3571428571428571 0.2857142857142857,75,threat
STR PRCNT SQUT RPRN AND INT EQ INT AND LPRN SQUT PRCNT SQUT EQ SQUT,0.2857142857142857 0.3571428571428571 0.42857142857142855 0.5 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5 0.42857142857142855 0.3571428571428571 0.2857142857142857,75,threat
STR PRCNT SQUT RPRN RPRN AND INT EQ INT AND LPRN LPRN SQUT PRCNT SQUT EQ SQUT,0.25 0.3125 0.375 0.4375 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4375 0.375 0.3125 0.25,81,threat
STR PRCNT SQUT RPRN RPRN AND INT EQ INT AND LPRN LPRN SQUT PRCNT SQUT EQ SQUT,0.25 0.3125 0.375 0.4375 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4375 0.375 0.3125 0.25,81,threat
STR PRCNT SQUT AND INT EQ INT AND SQUT PRCNT SQUT EQ SQUT,0.3333333333333333 0.41666666666666663 0.5 0.5833333333333333 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.5833333333333333 0.5 0.41666666666666663 0.3333333333333333,69,threat
STR PRCNT SQUT AND INT EQ INT AND SQUT PRCNT SQUT EQ SQUT,0.3333333333333333 0.41666666666666663 0.5 0.5833333333333333 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.5833333333333333 0.5 0.41666666666666663 0.3333333333333333,69,threat
STR PRCNT DQUT AND INT EQ INT AND DQUT PRCNT DQUT EQ DQUT,0.3333333333333333 0.41666666666666663 0.5 0.5833333333333333 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.5833333333333333 0.5 0.41666666666666663 0.3333333333333333,69,threat
STR RPRN AND INT EQ INT DSCMT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,51,threat
STR RPRN AND INT EQ INT AND LPRN INT EQ INT,0.4 0.5 0.6000000000000001 0.7000000000000001 0.8 0.8 0.8 0.7000000000000001 0.6000000000000001 0.5 0.4,65,threat
STR RPRN AND INT EQ INT AND LPRN INT EQ INT,0.4 0.5 0.6000000000000001 0.7000000000000001 0.8 0.8 0.8 0.7000000000000001 0.6000000000000001 0.5 0.4,65,threat
STR RPRN RPRN AND INT EQ INT AND LPRN LPRN INT EQ INT,0.3333333333333333 0.41666666666666663 0.5 0.5833333333333333 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.5833333333333333 0.5 0.41666666666666663 0.3333333333333333,71,threat
STR RPRN RPRN RPRN AND INT EQ INT AND LPRN LPRN LPRN INT EQ INT,0.2857142857142857 0.3571428571428571 0.42857142857142855 0.5 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.5 0.42857142857142855 0.3571428571428571 0.2857142857142857,77,threat
STR AND INT EQ INT,1.0 1.0 1.0 1.0 1.0,39,threat
STR AND INT EQ INT,1.0 1.0 1.0 1.0 1.0,39,threat
STR AND INT EQ INT DSCMT STR,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,48,threat
STR AND INT EQ INT DSCMT STR,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,48,threat
STR AND INT EQ INT HASH STR,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,49,threat
STR AND INT EQ INT HASH STR,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,49,threat
STR SQUT AND INT EQ INT DSCMT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,51,threat
STR SQUT RPRN AND INT EQ INT DSCMT STR,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,54,threat
STR SQUT RPRN RPRN AND INT EQ INT DSCMT STR,0.4444444444444444 0.5555555555555556 0.6666666666666666 0.7777777777777777 0.8888888888888888 0.8888888888888888 0.7777777777777777 0.6666666666666666 0.5555555555555556 0.4444444444444444,57,threat
STR SQUT RPRN RPRN RPRN AND INT EQ INT DSCMT STR,0.4 0.5 0.6000000000000001 0.7000000000000001 0.8 0.8 0.8 0.7000000000000001 0.6000000000000001 0.5 0.4,60,threat
STR SQUT AND INT EQ INT DSCMT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,51,threat
STR SQUT RPRN AND INT EQ INT DSCMT STR,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,54,threat
STR SQUT RPRN RPRN AND INT EQ INT DSCMT STR,0.4444444444444444 0.5555555555555556 0.6666666666666666 0.7777777777777777 0.8888888888888888 0.8888888888888888 0.7777777777777777 0.6666666666666666 0.5555555555555556 0.4444444444444444,57,threat
STR SQUT AND INT EQ INT DSCMT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,51,threat
STR SQUT AND INT EQ INT DSCMT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,51,threat
STR DQUT RPRN AND INT EQ INT DSCMT STR,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,54,threat
STR DQUT RPRN RPRN AND INT EQ INT DSCMT STR,0.4444444444444444 0.5555555555555556 0.6666666666666666 0.7777777777777777 0.8888888888888888 0.8888888888888888 0.7777777777777777 0.6666666666666666 0.5555555555555556 0.4444444444444444,57,threat
STR DQUT RPRN RPRN AND INT EQ INT DSCMT STR,0.4444444444444444 0.5555555555555556 0.6666666666666666 0.7777777777777777 0.8888888888888888 0.8888888888888888 0.7777777777777777 0.6666666666666666 0.5555555555555556 0.4444444444444444,57,threat
STR DQUT AND INT EQ INT DSCMT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,51,threat
STR DQUT AND INT EQ INT DSCMT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,51,threat
STR DQUT RPRN AND INT EQ INT DSCMT STR,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,54,threat
STR DQUT AND INT EQ INT DSCMT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,51,threat
STR DQUT AND INT EQ INT DSCMT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,51,threat
STR PRCNT SQUT RPRN AND INT EQ INT DSCMT STR,0.4444444444444444 0.5555555555555556 0.6666666666666666 0.7777777777777777 0.8888888888888888 0.8888888888888888 0.7777777777777777 0.6666666666666666 0.5555555555555556 0.4444444444444444,57,threat
STR PRCNT SQUT RPRN AND INT EQ INT DSCMT STR,0.4444444444444444 0.5555555555555556 0.6666666666666666 0.7777777777777777 0.8888888888888888 0.8888888888888888 0.7777777777777777 0.6666666666666666 0.5555555555555556 0.4444444444444444,57,threat
STR PRCNT SQUT RPRN RPRN AND INT EQ INT DSCMT STR,0.4 0.5 0.6000000000000001 0.7000000000000001 0.8 0.8 0.8 0.7000000000000001 0.6000000000000001 0.5 0.4,60,threat
STR PRCNT DQUT AND INT EQ INT DSCMT STR,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,54,threat
STR RPRN AND INT EQ INT DSCMT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,51,threat
STR RPRN AND INT EQ INT DSCMT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,51,threat
STR RPRN AND INT EQ INT DSCMT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,51,threat
STR RPRN RPRN AND INT EQ INT DSCMT STR,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,54,threat
STR RPRN RPRN AND INT EQ INT DSCMT STR,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,54,threat
STR RPRN RPRN RPRN AND INT EQ INT DSCMT STR,0.4444444444444444 0.5555555555555556 0.6666666666666666 0.7777777777777777 0.8888888888888888 0.8888888888888888 0.7777777777777777 0.6666666666666666 0.5555555555555556 0.4444444444444444,57,threat
STR RPRN RPRN RPRN AND INT EQ INT DSCMT STR,0.4444444444444444 0.5555555555555556 0.6666666666666666 0.7777777777777777 0.8888888888888888 0.8888888888888888 0.7777777777777777 0.6666666666666666 0.5555555555555556 0.4444444444444444,57,threat
STR AND INT EQ INT DSCMT STR,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,48,threat
STR AND INT EQ INT DSCMT STR,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,48,threat
STR AND INT EQ INT DSCMT STR,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,48,threat
STR AND INT EQ INT DSCMT STR,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,48,threat
STR AND INT EQ INT DSCMT STR,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,48,threat
STR SQUT AND INT EQ INT HASH,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,45,threat
STR SQUT RPRN AND INT EQ INT HASH,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,48,threat
STR SQUT RPRN RPRN AND INT EQ INT HASH,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,51,threat
STR SQUT RPRN RPRN AND INT EQ INT HASH,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,51,threat
STR SQUT RPRN RPRN RPRN AND INT EQ INT HASH,0.4444444444444444 0.5555555555555556 0.6666666666666666 0.7777777777777777 0.8888888888888888 0.8888888888888888 0.7777777777777777 0.6666666666666666 0.5555555555555556 0.4444444444444444,54,threat
STR SQUT RPRN RPRN RPRN AND INT EQ INT HASH,0.4444444444444444 0.5555555555555556 0.6666666666666666 0.7777777777777777 0.8888888888888888 0.8888888888888888 0.7777777777777777 0.6666666666666666 0.5555555555555556 0.4444444444444444,54,threat
STR DQUT RPRN AND INT EQ INT HASH,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,48,threat
STR DQUT RPRN RPRN AND INT EQ INT HASH,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,51,threat
STR DQUT AND INT EQ INT HASH,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,45,threat
STR PRCNT SQUT RPRN AND INT EQ INT HASH,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,51,threat
STR PRCNT SQUT RPRN AND INT EQ INT HASH,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,51,threat
STR PRCNT SQUT RPRN RPRN AND INT EQ INT HASH,0.4444444444444444 0.5555555555555556 0.6666666666666666 0.7777777777777777 0.8888888888888888 0.8888888888888888 0.7777777777777777 0.6666666666666666 0.5555555555555556 0.4444444444444444,54,threat
STR PRCNT SQUT RPRN RPRN AND INT EQ INT HASH,0.4444444444444444 0.5555555555555556 0.6666666666666666 0.7777777777777777 0.8888888888888888 0.8888888888888888 0.7777777777777777 0.6666666666666666 0.5555555555555556 0.4444444444444444,54,threat
STR PRCNT SQUT AND INT EQ INT HASH,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,48,threat
STR PRCNT DQUT AND INT EQ INT HASH,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,48,threat
STR RPRN AND INT EQ INT HASH,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,45,threat
STR RPRN AND INT EQ INT HASH,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,45,threat
STR RPRN RPRN AND INT EQ INT HASH,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,48,threat
STR RPRN RPRN RPRN AND INT EQ INT HASH,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,51,threat
STR RPRN RPRN RPRN AND INT EQ INT HASH,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,51,threat
STR AND INT EQ INT HASH,0.8 1.0 1.0 1.0 1.0 0.8,42,threat
STR SQUT AND INT EQ INT STR,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,45,threat
STR SQUT AND INT EQ INT STR,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,45,threat
STR SQUT RPRN AND INT EQ INT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,48,threat
STR SQUT RPRN AND INT EQ INT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,48,threat
STR SQUT RPRN RPRN AND INT EQ INT STR,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,51,threat
STR SQUT RPRN RPRN AND INT EQ INT STR,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,51,threat
STR SQUT RPRN RPRN RPRN AND INT EQ INT STR,0.4444444444444444 0.5555555555555556 0.6666666666666666 0.7777777777777777 0.8888888888888888 0.8888888888888888 0.7777777777777777 0.6666666666666666 0.5555555555555556 0.4444444444444444,54,threat
STR DQUT RPRN AND INT EQ INT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,48,threat
STR DQUT RPRN AND INT EQ INT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,48,threat
STR DQUT RPRN RPRN AND INT EQ INT STR,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,51,threat
STR DQUT AND INT EQ INT STR,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,45,threat
STR DQUT AND INT EQ INT STR,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,45,threat
STR PRCNT SQUT RPRN AND INT EQ INT STR,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,51,threat
STR PRCNT SQUT RPRN RPRN AND INT EQ INT STR,0.4444444444444444 0.5555555555555556 0.6666666666666666 0.7777777777777777 0.8888888888888888 0.8888888888888888 0.7777777777777777 0.6666666666666666 0.5555555555555556 0.4444444444444444,54,threat
STR PRCNT SQUT RPRN RPRN AND INT EQ INT STR,0.4444444444444444 0.5555555555555556 0.6666666666666666 0.7777777777777777 0.8888888888888888 0.8888888888888888 0.7777777777777777 0.6666666666666666 0.5555555555555556 0.4444444444444444,54,threat
STR PRCNT SQUT AND INT EQ INT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,48,threat
STR PRCNT DQUT AND INT EQ INT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,48,threat
STR PRCNT DQUT AND INT EQ INT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,48,threat
STR RPRN AND INT EQ INT STR,0.6666666666666666 0.8333333333333333 1.0 1.0 1.0 0.8333333333333333 0.6666666666666666,45,threat
STR RPRN RPRN AND INT EQ INT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,48,threat
STR RPRN RPRN AND INT EQ INT STR,0.5714285714285714 0.7142857142857142 0.8571428571428571 1.0 1.0 0.8571428571428571 0.7142857142857142 0.5714285714285714,48,threat
STR RPRN RPRN RPRN AND INT EQ INT STR,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,51,threat
STR RPRN RPRN RPRN AND INT EQ INT STR,0.5 0.625 0.75 0.875 1.0 0.875 0.75 0.625 0.5,51,threat
STR AND INT EQ INT STR,0.8 1.0 1.0 1.0 1.0 0.8,42,threat
STR AND INT EQ INT STR,0.8 1.0 1.0 1.0 1.0 0.8,42,threat
STR SQUT RLIKE SELECT CASE WHEN INT EQ INT THEN HEX ELSE HEX END DSCMT STR,0.26666666666666666 0.3333333333333333 0.4 0.4666666666666667 0.5333333333333333 0.5333333333333333 0.5333333333333333 0.5333333333333333 0.5333333333333333 0.5333333333333333 0.5333333333333333 0.5333333333333333 0.4666666666666667 0.4 0.3333333333333333 0.26666666666666666,136,threat
STR SQUT RPRN RLIKE SELECT CASE WHEN INT EQ INT THEN HEX ELSE HEX END AND LPRN SQUT STR SQUT EQ SQUT STR,0.18181818181818182 0.2272727272727273 0.2727272727272727 0.3181818181818182 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.36363636363636365 0.3181818181818182 0.2727272727272727 0.2272727272727273 0.18181818181818182,162,threat
STR SQUT RPRN RPRN RLIKE SELECT CASE WHEN INT EQ INT THEN HEX ELSE HEX END AND LPRN LPRN SQUT STR SQUT EQ SQUT STR,0.16666666666666666 0.20833333333333331 0.25 0.29166666666666663 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.29166666666666663 0.25 0.20833333333333331 0.16666666666666666,168,threat
